cliente_id,nombre,apellido,edad,genero,cp,fecha_registro
1,Ana,García López,29,F,35011,2023-01-15
2,Carlos,Pérez Martín,42,M,35002,2022-11-03
3,Lucía,Rodríguez Sánchez,34,F,35001,2024-02-20
4,David,Morales Díaz,51,M,35012,2021-09-12
5,Elena,Hernández Cruz,27,F,35005,2024-06-01
6,Javier,Suárez Vega,38,M,35004,2022-03-18
7,María,López Ramírez,45,F,35004,2021-12-07
8,Daniel,Ramos Ortega,31,M,35003,2023-05-22
9,Patricia,Martín León,56,F,35012,2020-10-30
10,Alejandro,Díaz Navarro,24,M,35002,2024-09-14
11,Raquel,Navarro Gil,41,F,35011,2022-07-09
12,Sergio,Castillo Herrera,36,M,35012,2023-03-27
13,Laura,Ortega Molina,33,F,35015,2024-01-08
14,Manuel,Vega Romero,60,M,35009,2019-11-19
15,Natalia,Mendoza Torres,28,F,35002,2025-01-05
16,Pablo,Reyes Cabrera,47,M,35010,2021-04-16
17,Irene,Fuentes Santana,35,F,35007,2022-08-24
18,Álvaro,Cruz Medina,52,M,35001,2020-06-11
19,Beatriz,León Suárez,39,F,35001,2023-10-02
20,Óscar,Medina Ramos,44,M,35002,2021-02-28
21,Cristina,Santana López,26,F,35004,2024-04-19
22,Rubén,Fernández Pérez,32,M,35004,2023-06-11
23,Silvia,Moreno García,48,F,35009,2020-09-07
24,Iván,Domínguez Martín,37,M,35010,2022-01-22
25,Paula,Santos Rodríguez,21,F,35001,2024-10-01
26,Miguel,Acosta Díaz,55,M,35009,2019-07-14
27,Carmen,Núñez Herrera,43,F,35004,2021-05-30
28,Adrián,Padrón Vega,34,M,35012,2022-12-18
29,Rosa,Peña Morales,61,F,35011,2019-03-25
30,Hugo,Cabrera Torres,19,M,35012,2024-11-09
31,Marta,Delgado Ruiz,40,F,35009,2021-06-02
32,Samuel,Vargas León,28,M,35007,2023-08-17
33,Noelia,Iglesias Romero,46,F,35004,2020-12-05
34,Fernando,Quintana Medina,58,M,35008,2019-01-20
35,Sara,Campos Suárez,31,F,35010,2023-09-14
36,Luis,Perdomo Cabrera,49,M,35005,2020-05-18
37,Nerea,Marrero Gil,27,F,35013,2024-03-03
38,Jorge,Batista Ramos,35,M,35014,2022-10-29
39,Verónica,Artiles Díaz,53,F,35001,2019-08-12
40,Eduardo,Benítez Ortega,41,M,35013,2021-11-21
41,Lorena,Pineda Martín,30,F,35013,2023-02-07
42,Tomás,Ojeda Santana,64,M,35003,2019-06-09
43,Claudia,Falcón Herrera,22,F,35012,2024-12-01
44,Ricardo,Sosa Medina,50,M,35007,2020-04-27
45,Eva,González Cruz,36,F,35006,2022-09-13
46,Marcos,Lorenzo Peña,44,M,35005,2021-01-30
47,Alicia,Padilla Vega,29,F,35003,2023-07-19
48,Andrés,Cejas Romero,57,M,35004,2019-02-16
49,Inés,Valido Morales,33,F,35013,2024-05-26
50,Guillermo,Trujillo Díaz,39,M,35006,2022-04-08
